,creator,duration,id,labels,ladder,title,views
0,,243.0,-059JweS4uo,"[11, 20, 22, 29, 32, 112, 122, 472]","[{'160 - 256x144 (144p)': 111.924}, {'133 - 426x240 (240p)': 249.419}, {'134 - 640x360 (360p)': 613.828}, {'135 - 854x480 (480p)': 1109.432}, {'136 - 1280x720 (720p)': 2211.616}]",Winter Slaw | Waitrose,36115.0
1,,156.0,-1mlmW_d-4Q,"[246, 3721]","[{'160 - 256x144 (144p)': 116.071}, {'133 - 426x240 (240p)': 250.517}, {'134 - 640x360 (360p)': 573.942}, {'135 - 854x480 (480p)': 1080.677}]",Panasonic ST30 Series Plasma TV's,16432.0
2,,230.0,-1MHxGflaJ8,[25],"[{'160 - 240x144 (144p)': 114.948}, {'133 - 400x240 (240p)': 257.192}, {'134 - 600x360 (360p)': 611.063}]",Trailer 32 ธันวา (OFFICIAL),336033.0
3,,301.0,-34Cffcb6U4,"[19, 104, 3613]","[{'160 - 256x144 (144p)': 119.827}, {'133 - 426x240 (240p)': 251.2}, {'134 - 640x360 (360p)': 608.611}, {'135 - 854x480 (480p)': 1129.833}, {'136 - 1280x720 (720p)': 2223.784}]",Taku on CXC Racing Simulator,7684.0
4,,430.0,ox1EGRDjDmo,"[2, 7, 198, 230, 1669]","[{'160 - 256x144 (144p)': 111.894}, {'133 - 426x240 (240p)': 249.136}, {'134 - 640x360 (360p)': 625.9}, {'135 - 854x480 (480p)': 1134.494}, {'136 - 1280x720 (720p)': 2265.417}]",Opel Astra 2010 v2.0 for GTA 4,4291.0
5,,139.0,ekDb6AgxHdk,[52],"[{'160 - 192x144 (DASH video)': 108.0}, {'133 - 320x240 (DASH video)': 242.0}, {'134 - 480x360 (DASH video)': 606.059}, {'135 - 640x480 (DASH video)': 1155.0}]",Trainingslager der FRAPORT SKYLINERS Tag 1: Regenerationslauf und Stretching,1448.0
6,Tom Boxer,224.0,el0e-OkZS8M,[104],"[{'160 - 192x144 (144p)': 119.459}, {'133 - 320x240 (240p)': 246.527}]",Tom Boxer ft. Fly Project - Brasil (Romania),40924.0
7,,139.0,-fAnceh-hBs,"[3, 4, 9, 33]","[{'160 - 256x144 (144p)': 111.271}, {'133 - 426x238 (240p)': 249.584}, {'134 - 640x358 (360p)': 632.103}]",Dimension Zero-He Who Shall Not Bleed live at Wacken 2007 HQ,6459.0
8,,358.0,-iAc-m5ALJE,[1559],"[{'160 - 216x144 (144p)': 123.134}, {'133 - 360x240 (240p)': 262.462}, {'134 - 540x360 (360p)': 620.739}, {'135 - 720x480 (480p)': 1134.625}]",DIY Solar Panel - Vietnamese version by: Paul P Kieu,1170.0
9,,409.0,Ez9cYf40Zw0,"[68, 72, 98, 240]","[{'160 - 192x144 (DASH video)': 108.0}, {'133 - 320x240 (DASH video)': 242.0}, {'134 - 480x360 (DASH video)': 609.818}, {'135 - 640x480 (DASH video)': 1155.0}]",Andrew Edge bonus raw footage DVD OUT NOW,3858.0
10,,409.0,obQTwEfkWD4,"[6, 8]","[{'160 - 192x144 (DASH video)': 108.0}, {'133 - 320x240 (DASH video)': 242.0}, {'134 - 480x360 (DASH video)': 609.818}, {'135 - 640x480 (DASH video)': 1155.0}]",Andrew Edge bonus raw footage DVD OUT NOW,3858.0
11,,322.0,nEvai7ecTBk,[8],"[{'160 - 256x144 (DASH video)': 108.0}, {'133 - 426x240 (DASH video)': 242.0}, {'134 - 640x360 (DASH video)': 626.773}, {'135 - 854x480 (DASH video)': 1155.0}, {'136 - 1280x720 (DASH video)': 2310.0}, {'137 - 1920x1080 (DASH video)': 4331.25}]",OFF vs Chosen vs Dirty Vision | E-Motion Nacional de teams,2489.0
